99980 Enzymes with EC numbers
K00046 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K07148 K07148; uncharacterized protein
K07149 K07149; uncharacterized protein
K07150 K07150; uncharacterized protein
K07157 K07157; uncharacterized protein
K07158 K07158; uncharacterized protein
K07159 K07159; uncharacterized protein
K07161 K07161; uncharacterized protein
K07162 K07162; uncharacterized protein
K07163 K07163; uncharacterized protein
K07164 K07164; uncharacterized protein
K08998 K08998; uncharacterized protein
K08999 K08999; uncharacterized protein
K09003 K09003; uncharacterized protein
K09004 K09004; uncharacterized protein
K09005 K09005; uncharacterized protein
K09009 K09009; uncharacterized protein
K09010 K09010; uncharacterized protein
K09117 K09117; uncharacterized protein
K09118 K09118; uncharacterized protein
K09120 K09120; uncharacterized protein
K09122 K09122; uncharacterized protein
K09124 K09124; uncharacterized protein
K09126 K09126; uncharacterized protein
K09129 K09129; uncharacterized protein
K09130 K09130; uncharacterized protein
K09131 K09131; uncharacterized protein
K09132 K09132; uncharacterized protein
K09133 K09133; uncharacterized protein
K09135 K09135; uncharacterized protein
K09137 K09137; uncharacterized protein
K09138 K09138; uncharacterized protein
K09139 K09139; uncharacterized protein
K09141 K09141; uncharacterized protein
K09143 K09143; uncharacterized protein
K09144 K09144; uncharacterized protein
K09145 K09145; uncharacterized protein
K09146 K09146; uncharacterized protein
K09147 K09147; uncharacterized protein
K09148 K09148; uncharacterized protein
K09149 K09149; uncharacterized protein
K09150 K09150; uncharacterized protein
K09152 K09152; uncharacterized protein
K09154 K09154; uncharacterized protein
K09155 K09155; uncharacterized protein
K09157 K09157; uncharacterized protein
K09158 K09158; uncharacterized protein
K09160 K09160; uncharacterized protein
K09161 K09161; uncharacterized protein
K09163 K09163; uncharacterized protein
K09164 K09164; uncharacterized protein
K09166 K09166; uncharacterized protein
K09167 K09167; uncharacterized protein
K09190 K09190; uncharacterized protein
K09384 K09384; uncharacterized protein
K09386 K09386; uncharacterized protein
K09388 K09388; uncharacterized protein
K09700 K09700; uncharacterized protein
K09701 K09701; uncharacterized protein
K09702 K09702; uncharacterized protein
K09703 K09703; uncharacterized protein
K09704 K09704; uncharacterized protein
K09705 K09705; uncharacterized protein
K09706 K09706; uncharacterized protein
K09707 K09707; uncharacterized protein
K09712 K09712; uncharacterized protein
K09713 K09713; uncharacterized protein
K09715 K09715; uncharacterized protein
K09717 K09717; uncharacterized protein
K09718 K09718; uncharacterized protein
K09719 K09719; uncharacterized protein
K09721 K09721; uncharacterized protein
K09724 K09724; uncharacterized protein
K09725 K09725; uncharacterized protein
K09726 K09726; uncharacterized protein
K09727 K09727; uncharacterized protein
K09728 K09728; uncharacterized protein
K09729 K09729; uncharacterized protein
K09730 K09730; uncharacterized protein
K09731 K09731; uncharacterized protein
K09732 K09732; uncharacterized protein
K09736 K09736; uncharacterized protein
K09737 K09737; uncharacterized protein
K09738 K09738; uncharacterized protein
K09740 K09740; uncharacterized protein
K09742 K09742; uncharacterized protein
K09743 K09743; uncharacterized protein
K09744 K09744; uncharacterized protein
K09745 K09745; uncharacterized protein
K09746 K09746; uncharacterized protein
K09749 K09749; uncharacterized protein
K09763 K09763; uncharacterized protein
K09764 K09764; uncharacterized protein
K09766 K09766; uncharacterized protein
K09768 K09768; uncharacterized protein
K09770 K09770; uncharacterized protein
K09775 K09775; uncharacterized protein
K09776 K09776; uncharacterized protein
K09779 K09779; uncharacterized protein
K09780 K09780; uncharacterized protein
K09781 K09781; uncharacterized protein
K09785 K09785; uncharacterized protein
K09786 K09786; uncharacterized protein
K09787 K09787; uncharacterized protein
K09790 K09790; uncharacterized protein
K09791 K09791; uncharacterized protein
K09792 K09792; uncharacterized protein
K09793 K09793; uncharacterized protein
K09794 K09794; uncharacterized protein
K09795 K09795; uncharacterized protein
K09797 K09797; uncharacterized protein
K09798 K09798; uncharacterized protein
K09799 K09799; uncharacterized protein
K09801 K09801; uncharacterized protein
K09802 K09802; uncharacterized protein
K09803 K09803; uncharacterized protein
K09804 K09804; uncharacterized protein
K09805 K09805; uncharacterized protein
K09807 K09807; uncharacterized protein
K09824 virK; uncharacterized protein
K05952 K05952; uncharacterized protein
K00243 K00243; uncharacterized protein
K09822 K09822; uncharacterized protein
K09857 K09857; uncharacterized protein
K09859 K09859; uncharacterized protein
K09861 K09861; uncharacterized protein
K09862 K09862; uncharacterized protein
K09891 K09891; uncharacterized protein
K09894 K09894; uncharacterized protein
K09895 K09895; uncharacterized protein
K09896 K09896; uncharacterized protein
K09897 K09897; uncharacterized protein
K09898 K09898; uncharacterized protein
K09899 K09899; uncharacterized protein
K09901 K09901; uncharacterized protein
K09902 K09902; uncharacterized protein
K09904 K09904; uncharacterized protein
K09907 K09907; uncharacterized protein
K09908 K09908; uncharacterized protein
K09909 K09909; uncharacterized protein
K09910 K09910; uncharacterized protein
K09911 K09911; uncharacterized protein
K09912 K09912; uncharacterized protein
K09915 K09915; uncharacterized protein
K09916 K09916; uncharacterized protein
K09917 K09917; uncharacterized protein
K09918 K09918; uncharacterized protein
K09919 K09919; uncharacterized protein
K09920 K09920; uncharacterized protein
K09921 K09921; uncharacterized protein
K09922 K09922; uncharacterized protein
K09923 K09923; uncharacterized protein
K09924 K09924; uncharacterized protein
K09925 K09925; uncharacterized protein
K09926 K09926; uncharacterized protein
K09927 K09927; uncharacterized protein
K09928 K09928; uncharacterized protein
K09929 K09929; uncharacterized protein
K09930 K09930; uncharacterized protein
K09931 K09931; uncharacterized protein
K09932 K09932; uncharacterized protein
K09934 K09934; uncharacterized protein
K09937 K09937; uncharacterized protein
K09938 K09938; uncharacterized protein
K09939 K09939; uncharacterized protein
K09940 K09940; uncharacterized protein
K09941 K09941; uncharacterized protein
K09942 K09942; uncharacterized protein
K09943 K09943; uncharacterized protein
K09944 K09944; uncharacterized protein
K09945 K09945; uncharacterized protein
K09946 K09946; uncharacterized protein
K09947 K09947; uncharacterized protein
K09948 K09948; uncharacterized protein
K09950 K09950; uncharacterized protein
K09954 K09954; uncharacterized protein
K09955 K09955; uncharacterized protein
K09956 K09956; uncharacterized protein
K09957 K09957; uncharacterized protein
K09958 K09958; uncharacterized protein
K09959 K09959; uncharacterized protein
K09960 K09960; uncharacterized protein
K09961 K09961; uncharacterized protein
K09962 K09962; uncharacterized protein
K09963 K09963; uncharacterized protein
K09964 K09964; uncharacterized protein
K09965 K09965; uncharacterized protein
K09966 K09966; uncharacterized protein
K09967 K09967; uncharacterized protein
K09968 K09968; uncharacterized protein
K09973 K09973; uncharacterized protein
K09974 K09974; uncharacterized protein
K09975 K09975; uncharacterized protein
K09976 K09976; uncharacterized protein
K09977 K09977; uncharacterized protein
K09978 K09978; uncharacterized protein
K09979 K09979; uncharacterized protein
K09980 K09980; uncharacterized protein
K09981 K09981; uncharacterized protein
K09982 K09982; uncharacterized protein
K09983 K09983; uncharacterized protein
K09984 K09984; uncharacterized protein
K09985 K09985; uncharacterized protein
K09986 K09986; uncharacterized protein
K09987 K09987; uncharacterized protein
K09989 K09989; uncharacterized protein
K09990 K09990; uncharacterized protein
K09991 K09991; uncharacterized protein
K09992 K09992; uncharacterized protein
K05937 K05937; uncharacterized protein
K05967 K05967; uncharacterized protein
K05739 seaA; uncharacterized protein
K07807 K07807; uncharacterized protein
K01163 K01163; uncharacterized protein
K07502 yprB; uncharacterized protein
K07584 ysxB; uncharacterized protein
K07220 K07220; uncharacterized protein
K07276 K07276; uncharacterized protein
K07338 K07338; uncharacterized protein
K07586 ygaC; uncharacterized protein
K07742 ylxR; uncharacterized protein
